cause_id,glo_bothsex,glo_male,glo_female,agegroup,year
1520,438871,351064,87807,15-29 years,2019
1600,353201,267177,86024,15-29 years,2019
0,6729776,3364888,3364888,30-49 years,2019
20,1142898,571449,571449,30-49 years,2019
380,153134,76567,76567,30-49 years,2019
420,0,0,0,30-49 years,2019
490,78,39,39,30-49 years,2019
540,12126,6063,6063,30-49 years,2019
610,929974,464987,464987,30-49 years,2019
790,6544,3272,3272,30-49 years,2019
800,112266,56133,56133,30-49 years,2019
810,34496,17248,17248,30-49 years,2019
820,205374,102687,102687,30-49 years,2019
940,69596,34798,34798,30-49 years,2019
1100,1411198,705599,705599,30-49 years,2019
1170,141794,70897,70897,30-49 years,2019
1210,577146,288573,288573,30-49 years,2019
1260,169408,84704,84704,30-49 years,2019
1330,8190,4095,4095,30-49 years,2019
1340,7374,3687,3687,30-49 years,2019
1400,18234,9117,9117,30-49 years,2019
1505,4,2,2,30-49 years,2019
1520,1073026,536513,536513,30-49 years,2019
1600,656726,328363,328363,30-49 years,2019
0,5809760,3611550,2198210,50-59 years,2019
20,467790,282002,185788,50-59 years,2019
380,136999,84888,52111,50-59 years,2019
420,0,0,0,50-59 years,2019
490,51,31,20,50-59 years,2019
540,12632,6337,6295,50-59 years,2019
610,1518839,842600,676239,50-59 years,2019
790,9699,5500,4199,50-59 years,2019
800,212868,116625,96243,50-59 years,2019
810,28238,15158,13080,50-59 years,2019
820,73676,56197,17479,50-59 years,2019
940,69806,38247,31559,50-59 years,2019
1100,1822653,1191369,631284,50-59 years,2019
1170,282022,172491,109531,50-59 years,2019
1210,409236,282621,126615,50-59 years,2019
1260,197309,108938,88371,50-59 years,2019
1330,8680,4537,4143,50-59 years,2019
1340,12280,4555,7725,50-59 years,2019
1400,7534,3895,3639,50-59 years,2019
1505,3,2,1,50-59 years,2019
1520,375952,275675,100277,50-59 years,2019
1600,163339,119780,43559,50-59 years,2019
0,9231899,5559904,3671995,60-69 years,2019
20,443502,245813,197689,60-69 years,2019
380,266834,157582,109252,60-69 years,2019
420,0,0,0,60-69 years,2019
490,38,24,14,60-69 years,2019
540,21958,10907,11051,60-69 years,2019
610,2371364,1417167,954197,60-69 years,2019
790,21188,12759,8429,60-69 years,2019
