country,sum_pop,male,female,year
Paraguay,7045000,3581000,3464000,2019
Peru,32510000,16148000,16362000,2019
Philippines,108117000,54316000,53801000,2019
Poland,37888000,18361000,19527000,2019
Portugal,10226000,4837000,5390000,2019
Qatar,2832000,2134000,699000,2019
Republic of Korea,51225000,25649000,25576000,2019
Republic of Moldova,4043000,1938000,2105000,2019
Romania,19365000,9418000,9946000,2019
Russian Federation,145872000,67603000,78269000,2019
Rwanda,12627000,6206000,6421000,2019
Saint Lucia,183000,90000,93000,2019
Saint Vincent and the Grenadines,111000,56000,54000,2019
Samoa,197000,102000,95000,2019
Sao Tome and Principe,215000,108000,107000,2019
Saudi Arabia,34269000,19784000,14485000,2019
Senegal,16296000,7946000,8350000,2019
Serbia,8772000,4297000,4475000,2019
Seychelles,98000,50000,48000,2019
Sierra Leone,7813000,3898000,3915000,2019
Singapore,5804000,3038000,2766000,2019
Slovakia,5457000,2657000,2800000,2019
Slovenia,2079000,1035000,1044000,2019
Solomon Islands,670000,341000,329000,2019
Somalia,15443000,7700000,7743000,2019
South Africa,58558000,28859000,29699000,2019
South Sudan,11062000,5537000,5526000,2019
Spain,46737000,22961000,23776000,2019
Sri Lanka,21324000,10233000,11090000,2019
Sudan,42813000,21388000,21425000,2019
Suriname,581000,292000,289000,2019
Sweden,10036000,5026000,5011000,2019
Switzerland,8591000,4261000,4331000,2019
Syrian Arab Republic,17070000,8555000,8516000,2019
Tajikistan,9321000,4698000,4623000,2019
Thailand,69626000,33905000,35721000,2019
Timor-Leste,1293000,654000,640000,2019
Togo,8082000,4021000,4062000,2019
Tonga,104000,52000,52000,2019
Trinidad and Tobago,1395000,689000,706000,2019
Tunisia,11695000,5798000,5897000,2019
Turkey,83430000,41174000,42256000,2019
Turkmenistan,5942000,2926000,3016000,2019
Uganda,44270000,21807000,22462000,2019
Ukraine,43994000,20379000,23615000,2019
United Arab Emirates,9771000,6767000,3004000,2019
United Kingdom,67530000,33351000,34179000,2019
United Republic of Tanzania,58005000,28981000,29025000,2019
United States of America,329065000,162826000,166239000,2019
Uruguay,3462000,1672000,1790000,2019
Uzbekistan,32982000,16450000,16532000,2019
Vanuatu,300000,152000,148000,2019
Venezuela (Bolivarian Republic of),28516000,14045000,14471000,2019
Viet Nam,96462000,48151000,48311000,2019
Yemen,29162000,14692000,14470000,2019
Zambia,17861000,8843000,9018000,2019
Zimbabwe,14645000,6983000,7662000,2019
