country,cause_id,d_bothsex,d_male,d_female,year
Ethiopia,810,1600,700,900,2019
Ethiopia,820,1300,1000,200,2019
Ethiopia,940,11800,5600,6200,2019
Ethiopia,1100,98400,48100,50300,2019
Ethiopia,1170,17200,9900,7300,2019
Ethiopia,1210,41700,26500,15300,2019
Ethiopia,1260,15500,9000,6400,2019
Ethiopia,1330,900,300,600,2019
Ethiopia,1340,500,200,200,2019
Ethiopia,1400,15600,8900,6700,2019
Ethiopia,1505,400,200,200,2019
Ethiopia,1520,61400,40600,20800,2019
Ethiopia,1600,14400,10500,3900,2019
Chad,0,148700,78900,69800,2019
Chad,20,45600,24300,21200,2019
Chad,380,23300,12600,10600,2019
Chad,420,3700,0,3700,2019
Chad,490,19600,10900,8700,2019
Chad,540,2200,1200,1100,2019
Chad,610,5800,2300,3500,2019
Chad,790,0,0,0,2019
Chad,800,1900,800,1100,2019
Chad,810,1200,500,700,2019
Chad,820,300,300,0,2019
Chad,940,1500,800,700,2019
Chad,1100,14700,7200,7500,2019
Chad,1170,2900,1600,1300,2019
Chad,1210,5500,3400,2100,2019
Chad,1260,2200,1300,900,2019
Chad,1330,100,100,100,2019
Chad,1340,100,0,0,2019
Chad,1400,3700,2000,1700,2019
Chad,1505,300,200,100,2019
Chad,1520,11500,7300,4200,2019
Chad,1600,2700,2100,700,2019
Sudan,0,241200,129100,112100,2019
Sudan,20,36300,20200,16100,2019
Sudan,380,12600,7000,5600,2019
Sudan,420,2000,0,2000,2019
Sudan,490,33600,19100,14600,2019
Sudan,540,1200,700,400,2019
Sudan,610,17900,7600,10200,2019
Sudan,790,0,0,0,2019
Sudan,800,3100,1400,1700,2019
Sudan,810,1500,800,700,2019
Sudan,820,1100,800,300,2019
Sudan,940,4300,2100,2200,2019
Sudan,1100,76800,38500,38200,2019
Sudan,1170,7400,4300,3100,2019
Sudan,1210,6700,3500,3200,2019
Sudan,1260,5200,2500,2700,2019
Sudan,1330,100,100,100,2019
Sudan,1340,200,0,100,2019
Sudan,1400,5500,3000,2500,2019
Sudan,1505,400,200,200,2019
Sudan,1520,20900,14000,6900,2019
Sudan,1600,4500,3200,1300,2019
Togo,0,55200,31100,24000,2019
Togo,20,14400,7800,6600,2019
Togo,380,5700,3400,2300,2019
Togo,420,600,0,600,2019
Togo,490,5700,3200,2500,2019
Togo,540,300,100,100,2019
Togo,610,3400,1500,1900,2019
Togo,790,0,0,0,2019
Togo,800,1200,600,600,2019
Togo,810,900,500,400,2019
Togo,820,200,200,0,2019
Togo,940,700,400,300,2019
Togo,1100,9300,5100,4200,2019
Togo,1170,1500,900,600,2019
Togo,1210,2700,1800,1000,2019
Togo,1260,1400,800,600,2019
Togo,1330,100,0,0,2019
Togo,1340,0,0,0,2019
Togo,1400,1200,700,500,2019
Togo,1505,100,0,0,2019
Togo,1520,4300,2900,1400,2019
Togo,1600,1400,1100,400,2019
Madagascar,0,178000,93100,84900,2019
Madagascar,20,45200,26100,19000,2019
Madagascar,380,14700,7100,7500,2019
Madagascar,420,2800,0,2800,2019
Madagascar,490,13900,7700,6200,2019
Madagascar,540,4400,2000,2500,2019
Madagascar,610,12800,5200,7700,2019
Madagascar,790,0,0,0,2019
Madagascar,800,3300,1600,1600,2019
Madagascar,810,500,200,300,2019
Madagascar,820,200,200,0,2019
Madagascar,940,1900,900,1000,2019
Madagascar,1100,40500,19600,20900,2019
Madagascar,1170,6800,3700,3100,2019
Madagascar,1210,7700,4500,3200,2019
Madagascar,1260,2700,1500,1200,2019
Madagascar,1330,200,100,100,2019
Madagascar,1340,100,0,100,2019
Madagascar,1400,3400,1800,1600,2019
Madagascar,1505,200,100,100,2019
Madagascar,1520,13600,8500,5100,2019
Madagascar,1600,3400,2400,900,2019
Niger,0,183200,97200,86000,2019
Niger,20,57500,30500,27000,2019
Niger,380,21200,11500,9700,2019
Niger,420,3300,0,3300,2019
Niger,490,24200,13500,10600,2019
Niger,540,2200,1100,1100,2019
Niger,610,7200,3200,4000,2019
Niger,790,0,0,0,2019
Niger,800,2600,1100,1500,2019
Niger,810,1800,700,1100,2019
Niger,820,200,200,0,2019
Niger,940,2000,1100,1000,2019
Niger,1100,20900,10100,10800,2019
Niger,1170,4500,2300,2100,2019
Niger,1210,8000,4900,3100,2019
Niger,1260,3200,1900,1300,2019
Niger,1330,200,100,100,2019
Niger,1340,100,0,100,2019
Niger,1400,4300,2400,1900,2019
Niger,1505,400,200,100,2019
Niger,1520,15300,9300,6000,2019
Niger,1600,3900,2800,1100,2019
Rwanda,0,64300,34400,29800,2019
Rwanda,20,11800,6500,5300,2019
Rwanda,380,5300,2900,2500,2019
Rwanda,420,700,0,700,2019
Rwanda,490,5400,3000,2400,2019
Rwanda,540,1200,600,600,2019
Rwanda,610,7700,3300,4400,2019
Rwanda,790,0,0,0,2019
Rwanda,800,1900,1000,800,2019
Rwanda,810,200,100,100,2019
Rwanda,820,200,100,0,2019
Rwanda,940,1000,400,600,2019
Rwanda,1100,11200,5400,5900,2019
Rwanda,1170,2400,1300,1100,2019
Rwanda,1210,4200,2700,1500,2019
Rwanda,1260,1500,800,700,2019
Rwanda,1330,100,0,100,2019
Rwanda,1340,100,0,0,2019
Rwanda,1400,1800,1000,800,2019
Rwanda,1505,100,100,0,2019
Rwanda,1520,6100,4100,2000,2019
Rwanda,1600,1300,900,300,2019
Germany,0,928900,452600,476300,2015
Germany,20,21000,9900,11200,2015
Germany,380,22400,11300,11100,2015
Germany,420,0,0,0,2015
Germany,490,1400,800,600,2015
Germany,540,1600,500,1100,2015
Germany,610,236100,129000,107100,2015
Germany,790,7600,3600,4000,2015
Germany,800,17300,8200,9100,2015
Germany,810,10200,4300,5900,2015
Germany,820,8200,6300,2000,2015
Germany,940,68200,27200,41000,2015
Germany,1100,354200,158200,195900,2015
Germany,1170,60600,32300,28300,2015
Germany,1210,41500,21800,19700,2015
Germany,1260,34200,14500,19600,2015
Germany,1330,1500,600,900,2015
Germany,1340,3900,1400,2500,2015
Germany,1400,2100,1100,1000,2015
Germany,1505,100,100,0,2015
Germany,1520,25000,13300,11800,2015
Germany,1600,11600,8200,3400,2015
United States of America,0,2713500,1374100,1339300,2015
United States of America,20,73700,37900,35700,2015
United States of America,380,58500,27500,30900,2015
United States of America,420,700,0,700,2015
United States of America,490,12300,6800,5500,2015
United States of America,540,8300,3200,5100,2015
United States of America,610,602100,316900,285200,2015
United States of America,790,16300,8700,7700,2015
United States of America,800,54900,30800,24200,2015
United States of America,810,41500,20300,21200,2015
United States of America,820,72000,47400,24600,2015
United States of America,940,316100,116700,199400,2015
United States of America,1100,814200,409900,404300,2015
United States of America,1170,239000,115900,123100,2015
United States of America,1210,104400,55100,49300,2015
United States of America,1260,96300,46700,49600,2015
United States of America,1330,4800,2100,2700,2015
United States of America,1340,13700,4900,8800,2015
United States of America,1400,12000,6600,5500,2015
United States of America,1505,1300,800,600,2015
United States of America,1520,105300,64900,40400,2015
United States of America,1600,65800,51000,14800,2015
Trinidad and Tobago,0,9600,5600,4000,2015
Trinidad and Tobago,20,300,100,100,2015
Trinidad and Tobago,380,200,100,100,2015
Trinidad and Tobago,420,0,0,0,2015
Trinidad and Tobago,490,200,100,100,2015
Trinidad and Tobago,540,0,0,0,2015
Trinidad and Tobago,610,2100,1100,1000,2015
Trinidad and Tobago,790,0,0,0,2015
Trinidad and Tobago,800,1300,700,600,2015
Trinidad and Tobago,810,100,100,100,2015
Trinidad and Tobago,820,0,0,0,2015
Trinidad and Tobago,940,300,200,200,2015
Trinidad and Tobago,1100,2800,1600,1200,2015
Trinidad and Tobago,1170,200,100,100,2015
Trinidad and Tobago,1210,300,200,100,2015
Trinidad and Tobago,1260,500,300,200,2015
Trinidad and Tobago,1330,0,0,0,2015
Trinidad and Tobago,1340,0,0,0,2015
Trinidad and Tobago,1400,100,100,0,2015
Trinidad and Tobago,1505,0,0,0,2015
Trinidad and Tobago,1520,400,300,100,2015
Trinidad and Tobago,1600,700,600,100,2015
Lithuania,0,41700,20300,21400,2015
Lithuania,20,800,500,300,2015
Lithuania,380,600,300,200,2015
Lithuania,420,0,0,0,2015
Lithuania,490,0,0,0,2015
Lithuania,540,0,0,0,2015
Lithuania,610,8500,4700,3800,2015
Lithuania,790,200,100,100,2015
Lithuania,800,300,100,100,2015
Lithuania,810,100,0,0,2015
Lithuania,820,400,300,100,2015
Lithuania,940,700,300,400,2015
Lithuania,1100,23700,9700,14000,2015
Lithuania,1170,800,600,200,2015
Lithuania,1210,2200,1200,1000,2015
Lithuania,1260,400,200,200,2015
Lithuania,1330,0,0,0,2015
Lithuania,1340,100,0,0,2015
Lithuania,1400,100,100,0,2015
Lithuania,1505,0,0,0,2015
Lithuania,1520,1700,1200,500,2015
Lithuania,1600,1200,1000,200,2015
Japan,0,1290500,666700,623800,2015
Japan,20,28100,13200,14900,2015
Japan,380,138000,71400,66600,2015
Japan,420,0,0,0,2015
Japan,490,500,300,200,2015
Japan,540,3100,1300,1800,2015
Japan,610,394400,229600,164900,2015
Japan,790,12300,6300,6100,2015
Japan,800,4900,2700,2200,2015
Japan,810,10100,4300,5800,2015
Japan,820,1900,1100,800,2015
Japan,940,47000,17800,29100,2015
Japan,1100,354900,160000,194900,2015
Japan,1170,112400,63600,48800,2015
Japan,1210,52600,26600,26000,2015
Japan,1260,51100,22300,28800,2015
Japan,1330,1900,600,1200,2015
Japan,1340,6600,2400,4200,2015
Japan,1400,2400,1200,1200,2015
Japan,1505,100,100,0,2015
Japan,1520,43200,24800,18400,2015
Japan,1600,24800,17200,7600,2015
Denmark,0,52400,26100,26300,2015
Denmark,20,1100,500,600,2015
Denmark,380,2000,900,1100,2015
Denmark,420,0,0,0,2015
Denmark,490,200,100,100,2015
Denmark,540,100,0,100,2015
Denmark,610,16600,8700,7900,2015
Denmark,790,300,200,200,2015
Denmark,800,1200,700,600,2015
Denmark,810,600,200,300,2015
Denmark,820,1100,800,300,2015
Denmark,940,5300,2100,3300,2015
Denmark,1100,13400,6600,6800,2015
Denmark,1170,4700,2300,2400,2015
Denmark,1210,2200,1200,1100,2015
Denmark,1260,1100,600,600,2015
Denmark,1330,100,0,0,2015
Denmark,1340,400,100,300,2015
Denmark,1400,100,100,100,2015
Denmark,1505,0,0,0,2015
Denmark,1520,1100,600,500,2015
Denmark,1600,700,500,200,2015
France,0,582800,290000,292800,2015
France,20,12500,5900,6600,2015
France,380,19500,8400,11100,2015
France,420,100,0,100,2015
France,490,1400,800,600,2015
France,540,4800,1600,3200,2015
France,610,175100,100300,74800,2015
France,790,8100,4000,4100,2015
France,800,11000,5400,5600,2015
France,810,7800,3200,4600,2015
France,820,6000,4000,2000,2015
France,940,64500,23600,40900,2015
France,1100,151900,68900,83000,2015
France,1170,33700,17600,16100,2015
France,1210,25900,13700,12200,2015
France,1260,13400,6400,7000,2015
France,1330,1500,500,1000,2015
France,1340,4600,1800,2800,2015
France,1400,2000,1100,900,2015
France,1505,200,100,100,2015
France,1520,27300,14500,12800,2015
France,1600,11100,8000,3100,2015
Hungary,0,126300,60900,65300,2015
Hungary,20,900,400,500,2015
Hungary,380,1500,700,800,2015
Hungary,420,0,0,0,2015
Hungary,490,200,100,100,2015
Hungary,540,100,0,0,2015
Hungary,610,32000,17100,14800,2015
Hungary,790,500,200,300,2015
Hungary,800,2200,1000,1200,2015
Hungary,810,500,200,300,2015
Hungary,820,600,400,200,2015
Hungary,940,4700,1800,2900,2015
Hungary,1100,61800,26700,35100,2015
Hungary,1170,7100,3900,3300,2015
Hungary,1210,6200,3700,2500,2015
Hungary,1260,1400,600,900,2015
Hungary,1330,100,0,100,2015
Hungary,1340,400,100,300,2015
Hungary,1400,300,200,100,2015
Hungary,1505,0,0,0,2015
Hungary,1520,3600,2200,1400,2015
Hungary,1600,2100,1500,600,2015
Brunei Darussalam,0,1900,1000,800,2015
Brunei Darussalam,20,100,100,0,2015
Brunei Darussalam,380,100,100,100,2015
Brunei Darussalam,420,0,0,0,2015
Brunei Darussalam,490,0,0,0,2015
Brunei Darussalam,540,0,0,0,2015
Brunei Darussalam,610,400,200,200,2015
Brunei Darussalam,790,0,0,0,2015
Brunei Darussalam,800,100,100,100,2015
Brunei Darussalam,810,100,0,0,2015
Brunei Darussalam,820,0,0,0,2015
Brunei Darussalam,940,100,0,0,2015
Brunei Darussalam,1100,500,300,200,2015
Brunei Darussalam,1170,100,0,100,2015
Brunei Darussalam,1210,100,0,0,2015
Brunei Darussalam,1260,100,0,0,2015
Brunei Darussalam,1330,0,0,0,2015
Brunei Darussalam,1340,0,0,0,2015
Brunei Darussalam,1400,0,0,0,2015
Brunei Darussalam,1505,0,0,0,2015
Brunei Darussalam,1520,100,100,0,2015
Brunei Darussalam,1600,0,0,0,2015
Canada,0,264300,133400,130900,2015
Canada,20,5100,2500,2600,2015
Canada,380,7900,3500,4400,2015
Canada,420,0,0,0,2015
Canada,490,1100,600,500,2015
Canada,540,600,200,300,2015
Canada,610,78000,40900,37100,2015
Canada,790,1500,800,700,2015
Canada,800,6000,3400,2500,2015
Canada,810,3100,1500,1600,2015
Canada,820,4400,3000,1400,2015
Canada,940,31600,12300,19300,2015
Canada,1100,69500,35000,34600,2015
Canada,1170,18900,9700,9100,2015
Canada,1210,11000,5700,5300,2015
Canada,1260,6600,3100,3600,2015
Canada,1330,600,200,400,2015
Canada,1340,1800,700,1100,2015
Canada,1400,1100,600,500,2015
Canada,1505,0,0,0,2015
Canada,1520,10000,5500,4400,2015
Canada,1600,5300,3900,1400,2015
China,0,9302100,5600500,3701700,2015
China,20,122500,80400,42100,2015
China,380,174400,100800,73600,2015
China,420,4300,0,4300,2015
China,490,69200,39400,29900,2015
China,540,14000,7100,6900,2015
China,610,2290000,1497300,792700,2015
China,790,3700,2300,1400,2015
China,800,139300,69700,69600,2015
China,810,23700,12700,11000,2015
China,820,39000,28800,10200,2015
China,940,325400,136400,189000,2015
China,1100,3921000,2254900,1666100,2015
China,1170,960500,571900,388600,2015
China,1210,256300,172800,83500,2015
China,1260,188300,105300,83000,2015
China,1330,4600,2300,2200,2015
China,1340,16400,5800,10500,2015
China,1400,48100,27300,20800,2015
China,1505,1300,1000,400,2015
China,1520,570700,404800,165900,2015
China,1600,129400,79600,49800,2015
Mexico,0,646600,358500,288100,2015
Mexico,20,17200,10500,6700,2015
Mexico,380,22300,12300,10000,2015
Mexico,420,800,0,800,2015
Mexico,490,14300,8000,6300,2015
Mexico,540,10200,5000,5200,2015
Mexico,610,79200,38800,40400,2015
Mexico,790,5600,2800,2800,2015
Mexico,800,73800,35800,37900,2015
Mexico,810,10600,5200,5500,2015
Mexico,820,5000,4300,700,2015
Mexico,940,11700,6100,5600,2015
Mexico,1100,163600,84800,78800,2015
Mexico,1170,37000,19700,17200,2015
Mexico,1210,62400,38900,23500,2015
Mexico,1260,47000,23800,23200,2015
Mexico,1330,2900,1200,1600,2015
Mexico,1340,4600,1500,3000,2015
Mexico,1400,12200,6700,5400,2015
Mexico,1505,500,300,200,2015
Mexico,1520,37900,28700,9200,2015
Mexico,1600,27700,23800,3900,2015
Jordan,0,25300,13400,11900,2015
Jordan,20,400,200,200,2015
Jordan,380,900,400,400,2015
Jordan,420,100,0,100,2015
Jordan,490,1700,1000,700,2015
Jordan,540,0,0,0,2015
Jordan,610,5200,2800,2400,2015
Jordan,790,0,0,0,2015
Jordan,800,1400,600,800,2015
Jordan,810,100,100,100,2015
Jordan,820,100,100,0,2015
Jordan,940,800,300,400,2015
Jordan,1100,7800,3800,4000,2015
Jordan,1170,500,300,200,2015
Jordan,1210,700,400,400,2015
Jordan,1260,1300,600,700,2015
Jordan,1330,0,0,0,2015
Jordan,1340,0,0,0,2015
Jordan,1400,1000,500,400,2015
Jordan,1505,100,0,0,2015
Jordan,1520,2900,2000,900,2015
Jordan,1600,400,300,100,2015
Iraq,0,172700,100200,72500,2015
Iraq,20,4900,2800,2100,2015
Iraq,380,5700,3300,2400,2015
Iraq,420,1000,0,1000,2015
Iraq,490,14700,8400,6300,2015
Iraq,540,100,100,100,2015
Iraq,610,13100,6600,6600,2015
Iraq,790,0,0,0,2015
Iraq,800,6300,2900,3400,2015
Iraq,810,500,200,300,2015
Iraq,820,400,400,100,2015
Iraq,940,3200,1400,1700,2015
Iraq,1100,56100,29300,26800,2015
Iraq,1170,2400,1300,1000,2015
Iraq,1210,2800,1600,1200,2015
Iraq,1260,5700,2900,2800,2015
Iraq,1330,0,0,0,2015
Iraq,1340,100,0,100,2015
Iraq,1400,5000,2900,2200,2015
Iraq,1505,300,200,100,2015
Iraq,1520,15600,11500,4100,2015
Iraq,1600,34600,24400,10300,2015
South Africa,0,529200,283700,245400,2015
South Africa,20,138300,68400,70000,2015
South Africa,380,41100,22900,18300,2015
South Africa,420,2000,0,2000,2015
South Africa,490,12800,7100,5700,2015
South Africa,540,2900,1600,1300,2015
South Africa,610,56800,28500,28400,2015
South Africa,790,300,100,100,2015
South Africa,800,33000,14200,18900,2015
South Africa,810,5800,2400,3400,2015
South Africa,820,1700,1200,600,2015
South Africa,940,8100,3600,4600,2015
South Africa,1100,94100,46100,48000,2015
South Africa,1170,21000,12100,8900,2015
South Africa,1210,19400,11400,8000,2015
South Africa,1260,17900,9700,8200,2015
South Africa,1330,1100,500,600,2015
South Africa,1340,1400,400,1000,2015
South Africa,1400,4700,2600,2100,2015
South Africa,1505,800,400,400,2015
South Africa,1520,30900,22600,8300,2015
South Africa,1600,34900,28100,6800,2015
Thailand,0,442900,249900,193000,2015
Thailand,20,38600,24100,14500,2015
Thailand,380,26700,14600,12100,2015
Thailand,420,200,0,200,2015
Thailand,490,3400,1900,1500,2015
Thailand,540,800,300,500,2015
Thailand,610,104800,58400,46300,2015
Thailand,790,200,100,100,2015
Thailand,800,15600,6500,9000,2015
Thailand,810,1600,700,900,2015
Thailand,820,1200,1100,100,2015
Thailand,940,22800,8700,14100,2015
Thailand,1100,96200,50400,45800,2015
Thailand,1170,21100,13900,7200,2015
Thailand,1210,27300,16800,10400,2015
Thailand,1260,29600,13100,16500,2015
Thailand,1330,2900,1300,1600,2015
Thailand,1340,1100,300,800,2015
Thailand,1400,2600,1500,1100,2015
Thailand,1505,100,100,100,2015
Thailand,1520,36900,28300,8600,2015
Thailand,1600,9300,7700,1600,2015
Libya,0,27100,15500,11600,2015
Libya,20,1100,700,400,2015
Libya,380,700,400,300,2015
Libya,420,100,0,100,2015
Libya,490,800,400,300,2015
Libya,540,0,0,0,2015
Libya,610,3100,1700,1400,2015
Libya,790,0,0,0,2015
Libya,800,700,300,400,2015
Libya,810,100,100,100,2015
Libya,820,400,300,100,2015
Libya,940,900,400,500,2015
Libya,1100,9300,4600,4700,2015
Libya,1170,800,500,400,2015
Libya,1210,900,500,400,2015
Libya,1260,1100,400,600,2015
Libya,1330,0,0,0,2015
Libya,1340,0,0,0,2015
Libya,1400,600,300,200,2015
Libya,1505,0,0,0,2015
Libya,1520,4400,3500,900,2015
Libya,1600,2200,1600,600,2015
Brazil,0,1268100,712800,555400,2015
Brazil,20,60100,33900,26200,2015
Brazil,380,85300,41900,43400,2015
Brazil,420,1800,0,1800,2015
Brazil,490,23000,13200,9800,2015
Brazil,540,9600,4900,4700,2015
Brazil,610,219600,117400,102200,2015
Brazil,790,4000,2000,2000,2015
Brazil,800,53500,23600,29900,2015
Brazil,810,15100,7100,8000,2015
Brazil,820,9800,8200,1600,2015
Brazil,940,39800,18000,21800,2015
Brazil,1100,361100,189400,171600,2015
Brazil,1170,83900,44600,39300,2015
Brazil,1210,68300,42700,25600,2015
Brazil,1260,50800,25000,25900,2015
Brazil,1330,5400,2400,3000,2015
Brazil,1340,5700,2100,3600,2015
Brazil,1400,13300,7400,5800,2015
Brazil,1505,200,100,100,2015
Brazil,1520,78900,58900,20000,2015
Brazil,1600,79000,69900,9100,2015
Peru,0,125400,65600,59900,2015
Peru,20,5900,3800,2100,2015
Peru,380,13800,6500,7300,2015
Peru,420,400,0,400,2015
Peru,490,2900,1600,1300,2015
Peru,540,1000,400,600,2015
Peru,610,31200,15400,15900,2015
Peru,790,0,0,0,2015
Peru,800,3900,1800,2200,2015
Peru,810,400,200,200,2015
Peru,820,800,600,200,2015
Peru,940,6000,2500,3400,2015
Peru,1100,21100,10400,10600,2015
Peru,1170,5700,2800,2800,2015
Peru,1210,9300,5200,4100,2015
Peru,1260,7300,3300,4000,2015
Peru,1330,100,100,100,2015
Peru,1340,200,0,200,2015
Peru,1400,2300,1300,1000,2015
Peru,1505,100,0,0,2015
Peru,1520,9600,6900,2800,2015
Peru,1600,3500,2800,700,2015
Bulgaria,0,108200,51800,56400,2015
Bulgaria,20,700,300,400,2015
Bulgaria,380,1400,600,800,2015
Bulgaria,420,0,0,0,2015
Bulgaria,490,200,100,100,2015
Bulgaria,540,0,0,0,2015
Bulgaria,610,18400,7700,10700,2015
Bulgaria,790,100,0,0,2015
Bulgaria,800,1500,800,700,2015
Bulgaria,810,200,100,100,2015
Bulgaria,820,200,0,100,2015
Bulgaria,940,1100,500,600,2015
Bulgaria,1100,70300,36600,33700,2015
Bulgaria,1170,5200,1900,3200,2015
Bulgaria,1210,4000,1300,2600,2015
Bulgaria,1260,1900,900,1000,2015
Bulgaria,1330,100,0,0,2015
Bulgaria,1340,0,0,0,2015
Bulgaria,1400,200,100,100,2015
Bulgaria,1505,0,0,0,2015
Bulgaria,1520,2100,600,1500,2015
Bulgaria,1600,800,200,600,2015
Algeria,0,181800,96300,85500,2015
Algeria,20,6300,3600,2700,2015
Algeria,380,7300,3900,3500,2015
Algeria,420,1000,0,1000,2015
Algeria,490,12100,6600,5500,2015
Algeria,540,100,0,100,2015
Algeria,610,26400,14300,12100,2015
Algeria,790,0,0,0,2015
Algeria,800,3900,1600,2300,2015
Algeria,810,900,400,500,2015
Algeria,820,900,700,300,2015
Algeria,940,6100,3300,2900,2015
Algeria,1100,78900,39700,39200,2015
Algeria,1170,6200,3600,2600,2015
Algeria,1210,5000,2800,2200,2015
Algeria,1260,6500,3000,3600,2015
Algeria,1330,100,100,0,2015
Algeria,1340,200,0,100,2015
Algeria,1400,4400,2400,2000,2015
Algeria,1505,400,200,200,2015
Algeria,1520,13200,9000,4200,2015
Algeria,1600,1900,1300,600,2015
Angola,0,223800,123000,100800,2015
Angola,20,72200,38600,33500,2015
Angola,380,26300,14800,11600,2015
Angola,420,2800,0,2800,2015
Angola,490,32100,18000,14100,2015
Angola,540,4400,2400,2000,2015
Angola,610,8900,4000,5000,2015
Angola,790,0,0,0,2015
Angola,800,3900,2500,1400,2015
Angola,810,1100,600,500,2015
Angola,820,400,300,100,2015
Angola,940,2200,1100,1100,2015
Angola,1100,25200,13300,11900,2015
Angola,1170,4300,2000,2300,2015
Angola,1210,9500,6400,3200,2015
Angola,1260,3200,2100,1200,2015
Angola,1330,200,100,100,2015
Angola,1340,200,100,100,2015
Angola,1400,7300,4000,3300,2015
Angola,1505,500,300,200,2015
Angola,1520,14400,8800,5600,2015
Angola,1600,4600,3800,900,2015
Benin,0,91200,48700,42500,2015
Benin,20,24700,13000,11700,2015
Benin,380,10400,5700,4700,2015
Benin,420,1100,0,1100,2015
Benin,490,12100,6700,5300,2015
Benin,540,1100,600,600,2015
Benin,610,5200,2500,2700,2015
Benin,790,0,0,0,2015
Benin,800,1700,800,900,2015
Benin,810,1400,600,800,2015
Benin,820,200,200,0,2015
Benin,940,1300,600,600,2015
Benin,1100,12800,6200,6600,2015
Benin,1170,2200,1200,1000,2015
Benin,1210,4100,2500,1600,2015
Benin,1260,2100,1100,900,2015
Benin,1330,100,100,100,2015
Benin,1340,100,0,0,2015
Benin,1400,2300,1300,1000,2015
Benin,1505,200,100,100,2015
Benin,1520,6700,4300,2300,2015
Benin,1600,1500,1200,400,2015
Bhutan,0,4100,2400,1800,2015
Bhutan,20,500,300,200,2015
Bhutan,380,200,100,100,2015
Bhutan,420,0,0,0,2015
Bhutan,490,200,100,100,2015
Bhutan,540,0,0,0,2015
Bhutan,610,400,200,200,2015
Bhutan,790,0,0,0,2015
Bhutan,800,100,100,100,2015
Bhutan,810,0,0,0,2015
Bhutan,820,0,0,0,2015
Bhutan,940,100,100,100,2015
Bhutan,1100,1100,600,500,2015
Bhutan,1170,600,300,300,2015
Bhutan,1210,300,200,100,2015
Bhutan,1260,200,100,100,2015
Bhutan,1330,0,0,0,2015
Bhutan,1340,0,0,0,2015
Bhutan,1400,100,0,0,2015
Bhutan,1505,0,0,0,2015
Bhutan,1520,300,200,100,2015
Bhutan,1600,0,0,0,2015
Cameroon,0,211200,112300,98800,2015
Cameroon,20,72100,36500,35600,2015
Cameroon,380,21000,11800,9300,2015
Cameroon,420,3600,0,3600,2015
Cameroon,490,21900,12400,9500,2015
Cameroon,540,1600,700,800,2015
Cameroon,610,9400,3800,5600,2015
Cameroon,790,0,0,0,2015
Cameroon,800,5100,2500,2600,2015
Cameroon,810,2500,900,1500,2015
Cameroon,820,900,800,100,2015
Cameroon,940,2600,1300,1300,2015
Cameroon,1100,26100,13500,12600,2015
Cameroon,1170,4400,2500,1900,2015
Cameroon,1210,7600,4700,2900,2015
Cameroon,1260,5700,2900,2700,2015
Cameroon,1330,300,100,200,2015
Cameroon,1340,200,0,100,2015
Cameroon,1400,5400,3000,2400,2015
Cameroon,1505,500,300,200,2015
Cameroon,1520,14900,10300,4600,2015
Cameroon,1600,5500,4100,1400,2015
Côte d'Ivoire,0,203300,116900,86400,2015
Côte d'Ivoire,20,64600,34700,30000,2015
Côte d'Ivoire,380,21600,13000,8600,2015
Côte d'Ivoire,420,2600,0,2600,2015
Côte d'Ivoire,490,27600,15800,11900,2015
Côte d'Ivoire,540,1300,600,700,2015
Côte d'Ivoire,610,9500,4200,5300,2015
Côte d'Ivoire,790,0,0,0,2015
Côte d'Ivoire,800,4000,2300,1700,2015
Côte d'Ivoire,810,1800,800,1000,2015
Côte d'Ivoire,820,900,800,100,2015
Côte d'Ivoire,940,2400,1400,1000,2015
Côte d'Ivoire,1100,25400,15500,9800,2015
Côte d'Ivoire,1170,4400,2900,1400,2015
Côte d'Ivoire,1210,8100,5800,2400,2015
Côte d'Ivoire,1260,4700,3000,1600,2015
Côte d'Ivoire,1330,200,100,100,2015
Côte d'Ivoire,1340,100,0,100,2015
Côte d'Ivoire,1400,5100,2900,2200,2015
Côte d'Ivoire,1505,500,300,200,2015
Côte d'Ivoire,1520,13400,9100,4300,2015
Côte d'Ivoire,1600,5200,3700,1500,2015
Egypt,0,579300,316600,262700,2015
Egypt,20,12700,7300,5400,2015
Egypt,380,21400,11900,9600,2015
Egypt,420,1000,0,1000,2015
Egypt,490,26500,14600,11900,2015
Egypt,540,1000,500,500,2015
Egypt,610,83900,46100,37800,2015
Egypt,790,100,100,0,2015
Egypt,800,18200,8700,9500,2015
Egypt,810,2200,1000,1200,2015
Egypt,820,200,200,0,2015
Egypt,940,9900,5200,4600,2015
Egypt,1100,251900,134400,117600,2015
Egypt,1170,21800,12900,8900,2015
Egypt,1210,64700,36400,28300,2015
Egypt,1260,20600,9300,11300,2015
Egypt,1330,200,100,100,2015
Egypt,1340,200,100,200,2015
Egypt,1400,13400,7300,6100,2015
Egypt,1505,300,200,200,2015
Egypt,1520,20800,14600,6300,2015
Egypt,1600,8100,5900,2200,2015
El Salvador,0,41400,24100,17300,2015
El Salvador,20,3000,1800,1200,2015
El Salvador,380,2300,1300,1000,2015
El Salvador,420,0,0,0,2015
El Salvador,490,700,400,300,2015
El Salvador,540,300,100,200,2015
El Salvador,610,3700,1600,2000,2015
El Salvador,790,400,200,200,2015
El Salvador,800,1100,400,700,2015
El Salvador,810,300,200,100,2015
El Salvador,820,900,800,0,2015
El Salvador,940,800,400,400,2015
El Salvador,1100,9300,4600,4600,2015
El Salvador,1170,2900,1500,1400,2015
