country,cause_id,d_bothsex,d_male,d_female,year
Brunei Darussalam,540,0,0,0,2019
Brunei Darussalam,610,400,200,200,2019
Brunei Darussalam,790,0,0,0,2019
Brunei Darussalam,800,200,100,100,2019
Brunei Darussalam,810,100,100,0,2019
Brunei Darussalam,820,0,0,0,2019
Brunei Darussalam,940,100,100,100,2019
Brunei Darussalam,1100,700,400,300,2019
Brunei Darussalam,1170,100,100,100,2019
Brunei Darussalam,1210,100,0,0,2019
Brunei Darussalam,1260,100,100,100,2019
Brunei Darussalam,1330,0,0,0,2019
Brunei Darussalam,1340,0,0,0,2019
Brunei Darussalam,1400,0,0,0,2019
Brunei Darussalam,1505,0,0,0,2019
Brunei Darussalam,1520,100,100,0,2019
Brunei Darussalam,1600,0,0,0,2019
Canada,0,278200,141900,136300,2019
Canada,20,4100,2100,2000,2019
Canada,380,7500,3400,4100,2019
Canada,420,0,0,0,2019
Canada,490,1100,600,500,2019
Canada,540,600,200,300,2019
Canada,610,81600,43000,38600,2019
Canada,790,1700,900,800,2019
Canada,800,5700,3400,2300,2019
Canada,810,3200,1600,1600,2019
Canada,820,5400,3700,1600,2019
Canada,940,39500,16200,23300,2019
Canada,1100,70200,36200,34000,2019
Canada,1170,20000,10200,9800,2019
Canada,1210,12200,6300,5900,2019
Canada,1260,6500,3100,3400,2019
Canada,1330,700,300,400,2019
Canada,1340,2000,700,1200,2019
Canada,1400,1100,600,500,2019
Canada,1505,0,0,0,2019
Canada,1520,10000,5500,4500,2019
Canada,1600,5000,3700,1300,2019
China,0,10105600,5972100,4133500,2019
China,20,105500,67900,37600,2019
China,380,186000,106000,80000,2019
China,420,3600,0,3600,2019
China,490,47000,26500,20500,2019
China,540,16600,8100,8600,2019
China,610,2574700,1659700,915000,2019
China,790,4400,2800,1600,2019
China,800,161700,80600,81000,2019
China,810,25600,13600,12000,2019
China,820,43300,31000,12300,2019
China,940,397400,163500,233900,2019
China,1100,4306500,2429400,1877100,2019
China,1170,1013600,596000,417600,2019
China,1210,263500,174500,88900,2019
China,1260,205600,112100,93500,2019
China,1330,5200,2600,2600,2019
China,1340,19000,6600,12300,2019
China,1400,36600,20800,15900,2019
China,1505,900,700,200,2019
China,1520,560600,390200,170400,2019
China,1600,128300,79500,48800,2019
Mexico,0,711900,396000,315900,2019
Mexico,20,14800,9100,5700,2019
Mexico,380,25000,13900,11000,2019
Mexico,420,700,0,700,2019
Mexico,490,13700,7700,6000,2019
Mexico,540,10500,5200,5300,2019
Mexico,610,85700,41800,43900,2019
Mexico,790,6200,3100,3100,2019
Mexico,800,86100,42200,43900,2019
Mexico,810,11300,5500,5800,2019
Mexico,820,4600,3900,700,2019
Mexico,940,12000,6100,5900,2019
Mexico,1100,188000,98600,89300,2019
Mexico,1170,38700,19800,18800,2019
Mexico,1210,68300,42800,25500,2019
Mexico,1260,52700,26700,26000,2019
Mexico,1330,3000,1300,1700,2019
Mexico,1340,4900,1600,3300,2019
Mexico,1400,10500,5700,4700,2019
Mexico,1505,300,200,100,2019
Mexico,1520,35400,26500,8900,2019
Mexico,1600,39300,34100,5200,2019
Jordan,0,28900,15100,13800,2019
Jordan,20,400,200,200,2019
Jordan,380,900,500,500,2019
Jordan,420,100,0,100,2019
Jordan,490,1500,800,600,2019
Jordan,540,0,0,0,2019
Jordan,610,6100,3300,2800,2019
Jordan,790,0,0,0,2019
Jordan,800,1700,800,900,2019
Jordan,810,200,100,100,2019
Jordan,820,100,100,0,2019
Jordan,940,1000,400,500,2019
Jordan,1100,9700,4700,5000,2019
Jordan,1170,700,400,300,2019
Jordan,1210,900,400,400,2019
Jordan,1260,1600,700,900,2019
Jordan,1330,0,0,0,2019
Jordan,1340,0,0,0,2019
Jordan,1400,900,500,400,2019
Jordan,1505,0,0,0,2019
Jordan,1520,2600,1800,800,2019
Jordan,1600,400,300,100,2019
Iraq,0,160300,90300,70000,2019
Iraq,20,4500,2400,2000,2019
Iraq,380,5600,3100,2500,2019
Iraq,420,800,0,800,2019
Iraq,490,13600,7700,5900,2019
Iraq,540,100,100,0,2019
Iraq,610,15000,7600,7400,2019
Iraq,790,0,0,0,2019
Iraq,800,7400,3500,3900,2019
Iraq,810,500,200,300,2019
Iraq,820,500,400,100,2019
Iraq,940,3600,1600,2000,2019
Iraq,1100,62900,33300,29600,2019
Iraq,1170,2600,1500,1100,2019
Iraq,1210,3000,1700,1300,2019
Iraq,1260,6500,3300,3100,2019
Iraq,1330,0,0,0,2019
Iraq,1340,100,0,100,2019
Iraq,1400,4800,2700,2100,2019
Iraq,1505,300,200,200,2019
Iraq,1520,18500,13600,4900,2019
Iraq,1600,10000,7300,2700,2019
South Africa,0,496200,269800,226500,2019
South Africa,20,120600,63800,56800,2019
South Africa,380,39600,21800,17800,2019
South Africa,420,1700,0,1700,2019
South Africa,490,12700,7000,5600,2019
South Africa,540,2500,1300,1100,2019
South Africa,610,56800,28500,28300,2019
South Africa,790,300,100,100,2019
South Africa,800,30200,13100,17100,2019
South Africa,810,5900,2400,3500,2019
South Africa,820,1800,1200,600,2019
South Africa,940,8700,3700,5000,2019
South Africa,1100,87800,42600,45200,2019
South Africa,1170,19500,11000,8600,2019
South Africa,1210,18800,10900,7900,2019
South Africa,1260,17300,9300,8000,2019
South Africa,1330,1100,400,700,2019
South Africa,1340,1400,400,1000,2019
South Africa,1400,4400,2400,2000,2019
South Africa,1505,700,400,300,2019
South Africa,1520,29600,21600,8100,2019
South Africa,1600,34800,27900,7000,2019
Thailand,0,496700,275100,221600,2019
Thailand,20,33800,19700,14100,2019
Thailand,380,31300,17000,14300,2019
Thailand,420,200,0,200,2019
Thailand,490,2700,1500,1200,2019
Thailand,540,1000,400,600,2019
Thailand,610,118100,66200,51900,2019
Thailand,790,200,100,100,2019
Thailand,800,18800,8000,10800,2019
Thailand,810,1900,900,1000,2019
Thailand,820,1300,1200,200,2019
Thailand,940,28200,10500,17700,2019
Thailand,1100,114800,59800,55000,2019
Thailand,1170,24200,15900,8300,2019
Thailand,1210,30700,18500,12100,2019
Thailand,1260,35300,15300,20000,2019
Thailand,1330,3400,1500,1900,2019
Thailand,1340,1300,400,900,2019
Thailand,1400,2100,1200,900,2019
Thailand,1505,100,100,0,2019
Thailand,1520,38100,29200,8900,2019
Thailand,1600,9200,7700,1500,2019
Libya,0,27100,14600,12600,2019
Libya,20,1300,900,500,2019
Libya,380,700,400,400,2019
Libya,420,100,0,100,2019
Libya,490,600,400,300,2019
Libya,540,0,0,0,2019
Libya,610,3600,2000,1600,2019
Libya,790,0,0,0,2019
Libya,800,800,300,500,2019
Libya,810,200,100,100,2019
Libya,820,400,300,100,2019
Libya,940,1000,400,600,2019
Libya,1100,10700,5200,5500,2019
Libya,1170,1000,500,400,2019
Libya,1210,1000,500,400,2019
Libya,1260,1200,500,700,2019
Libya,1330,0,0,0,2019
Libya,1340,0,0,0,2019
Libya,1400,500,300,200,2019
Libya,1505,0,0,0,2019
Libya,1520,2400,1800,700,2019
Libya,1600,1500,1100,400,2019
Brazil,0,1372400,764700,607700,2019
Brazil,20,62700,35000,27700,2019
Brazil,380,95100,46900,48200,2019
Brazil,420,1500,0,1500,2019
Brazil,490,19200,10900,8200,2019
Brazil,540,9700,4900,4800,2019
Brazil,610,246000,129700,116300,2019
Brazil,790,4700,2400,2300,2019
Brazil,800,59600,27400,32200,2019
Brazil,810,16900,8100,8900,2019
Brazil,820,10400,8600,1800,2019
Brazil,940,50700,22800,27800,2019
Brazil,1100,381400,202300,179200,2019
Brazil,1170,90700,47900,42900,2019
Brazil,1210,73700,45100,28600,2019
Brazil,1260,64800,31500,33400,2019
Brazil,1330,7200,3200,4000,2019
Brazil,1340,6800,2600,4200,2019
Brazil,1400,12300,6900,5400,2019
Brazil,1505,200,100,100,2019
Brazil,1520,74200,53500,20700,2019
Brazil,1600,84400,74900,9500,2019
Peru,0,141800,74400,67400,2019
Peru,20,5600,3600,2100,2019
Peru,380,15300,7200,8100,2019
Peru,420,300,0,300,2019
Peru,490,2400,1400,1100,2019
Peru,540,1100,500,600,2019
Peru,610,36400,18300,18100,2019
Peru,790,100,0,0,2019
Peru,800,4400,2000,2400,2019
Peru,810,500,200,300,2019
Peru,820,1000,700,300,2019
Peru,940,7500,3200,4300,2019
Peru,1100,25300,12700,12600,2019
Peru,1170,6100,3000,3000,2019
Peru,1210,10800,6200,4600,2019
Peru,1260,8600,3800,4700,2019
Peru,1330,200,100,100,2019
Peru,1340,200,0,200,2019
Peru,1400,2000,1100,900,2019
Peru,1505,100,0,0,2019
Peru,1520,10100,7300,2800,2019
Peru,1600,3900,3100,800,2019
Bulgaria,0,106200,55200,51000,2019
Bulgaria,20,700,500,300,2019
Bulgaria,380,1400,800,600,2019
Bulgaria,420,0,0,0,2019
Bulgaria,490,200,100,100,2019
Bulgaria,540,0,0,0,2019
Bulgaria,610,17200,9800,7400,2019
Bulgaria,790,100,0,0,2019
Bulgaria,800,1300,600,700,2019
Bulgaria,810,100,100,100,2019
Bulgaria,820,100,100,0,2019
Bulgaria,940,900,500,400,2019
Bulgaria,1100,68900,33200,35700,2019
Bulgaria,1170,6300,3800,2500,2019
Bulgaria,1210,4000,2700,1400,2019
Bulgaria,1260,1900,1000,900,2019
Bulgaria,1330,100,0,0,2019
Bulgaria,1340,0,0,0,2019
Bulgaria,1400,200,100,100,2019
Bulgaria,1505,0,0,0,2019
Bulgaria,1520,1900,1300,500,2019
Bulgaria,1600,800,600,200,2019
Algeria,0,203300,108200,95100,2019
Algeria,20,5400,3100,2300,2019
Algeria,380,7300,3800,3500,2019
Algeria,420,900,0,900,2019
Algeria,490,12700,6900,5800,2019
Algeria,540,100,100,100,2019
Algeria,610,30300,16600,13800,2019
Algeria,790,100,0,0,2019
Algeria,800,4700,2000,2700,2019
Algeria,810,900,500,500,2019
Algeria,820,1100,700,300,2019
Algeria,940,7500,4000,3400,2019
Algeria,1100,91500,46500,45000,2019
Algeria,1170,7000,4100,2900,2019
Algeria,1210,5700,3200,2500,2019
Algeria,1260,7700,3500,4200,2019
Algeria,1330,100,100,0,2019
Algeria,1340,200,100,100,2019
Algeria,1400,4400,2300,2000,2019
Algeria,1505,200,100,100,2019
Algeria,1520,13700,9300,4400,2019
Algeria,1600,1800,1300,600,2019
Angola,0,264600,143800,120900,2019
Angola,20,107300,56500,50900,2019
Angola,380,40000,22200,17900,2019
Angola,420,4100,0,4100,2019
Angola,490,34000,18800,15300,2019
Angola,540,7300,4300,3000,2019
Angola,610,5700,2400,3300,2019
Angola,790,0,0,0,2019
Angola,800,2700,1700,900,2019
Angola,810,1000,600,500,2019
Angola,820,400,300,100,2019
Angola,940,1500,800,700,2019
Angola,1100,20600,11300,9300,2019
Angola,1170,4600,2200,2400,2019
Angola,1210,7200,5000,2200,2019
Angola,1260,2500,1700,900,2019
Angola,1330,100,100,100,2019
Angola,1340,100,100,0,2019
Angola,1400,6500,3600,2900,2019
Angola,1505,500,300,300,2019
Angola,1520,10900,6600,4400,2019
Angola,1600,7500,5500,2000,2019
Benin,0,93400,50000,43500,2019
Benin,20,24200,12800,11400,2019
Benin,380,10200,5600,4600,2019
Benin,420,1000,0,1000,2019
Benin,490,12000,6700,5300,2019
Benin,540,1000,500,500,2019
Benin,610,5900,2800,3000,2019
Benin,790,0,0,0,2019
Benin,800,1900,900,1000,2019
Benin,810,1500,600,800,2019
Benin,820,300,200,0,2019
Benin,940,1500,700,800,2019
Benin,1100,13900,6700,7200,2019
Benin,1170,2300,1200,1100,2019
Benin,1210,4300,2600,1700,2019
Benin,1260,2300,1200,1000,2019
Benin,1330,100,100,100,2019
Benin,1340,100,0,0,2019
Benin,1400,2300,1300,1000,2019
Benin,1505,200,100,100,2019
Benin,1520,6900,4500,2400,2019
Benin,1600,1700,1300,400,2019
Bhutan,0,4500,2600,1900,2019
Bhutan,20,500,300,200,2019
Bhutan,380,200,100,100,2019
Bhutan,420,0,0,0,2019
Bhutan,490,200,100,100,2019
Bhutan,540,0,0,0,2019
Bhutan,610,500,300,200,2019
